game,algo1,algo2,winner,nb_move
connect4,MCTS_0.3,MCTS_0.5,MCTS,15
connect4,MCTS_0.3,MCTS_0.5,MCTS,22
connect4,MCTS_0.3,MCTS_0.7,MCTS,19
connect4,MCTS_0.3,MCTS_0.6,MCTS,20
connect4,MCTS_0.3,MCTS_0.5,MCTS,38
connect4,MCTS_0.3,MCTS_0.6,MCTS,26
connect4,MCTS_0.3,MCTS_0.8,MCTS,9
connect4,MCTS_0.3,MCTS_0.8,MCTS,10
connect4,MCTS_0.3,Alphabeta_5,Alphabeta,32
connect4,MCTS_0.3,Minimax_4,Minimax,16
connect4,MCTS_0.3,MCTS_0.7,MCTS,24
connect4,MCTS_0.3,MCTS_0.7,MCTS,23
connect4,MCTS_0.3,Alphabeta_5,Alphabeta,24
connect4,MCTS_0.3,MCTS_0.6,draw,48
connect4,MCTS_0.3,MCTS_0.9,MCTS,17
connect4,MCTS_0.3,MCTS_0.9,MCTS,15
connect4,MCTS_0.3,Minimax_4,Minimax,12
connect4,MCTS_0.3,MCTS_0.9,MCTS,21
connect4,MCTS_0.3,MCTS_0.8,MCTS,26
connect4,Alphabeta_4,Minimax_1,Minimax,8
connect4,MCTS_0.3,MCTS_1.0,MCTS,19
connect4,Alphabeta_4,MCTS_0.1,Alphabeta,9
